year,temp_global,temp_city
1750,8.72,12.51
1751,7.98,13.28
1752,5.78,5.45
1753,8.39,11.91
1754,8.47,12.22
1755,8.36,9.15
1756,8.85,12.26
1757,9.02,11.36
1758,6.74,10.48
1759,7.99,11.43
1760,7.19,10.10
1761,8.77,12.55
1762,8.61,11.92
1763,7.50,9.70
1764,8.40,11.92
1765,8.25,11.39
1766,8.41,12.45
1767,8.22,10.97
1768,6.78,10.90
1769,7.69,11.52
1770,7.69,11.39
1771,7.85,12.66
1772,8.19,12.07
1773,8.22,12.41
1774,8.77,11.89
1775,9.18,12.66
1776,8.30,11.58
1777,8.26,11.23
1778,8.54,9.16
1779,8.98,3.15
1780,9.43,
1781,8.10,12.14
1782,7.90,11.55
1783,7.68,11.24
1784,7.86,10.93
1785,7.36,10.94
1786,8.26,11.45
1787,8.03,11.45
1788,8.45,12.16
1789,8.33,11.84
1790,7.98,11.79
1791,8.23,11.83
1792,8.09,11.22
1793,8.23,12.21
1794,8.53,12.20
1795,8.35,11.69
1796,8.27,11.45
1797,8.51,11.35
1798,8.67,12.30
1799,8.51,11.81
1800,8.48,11.86
1801,8.59,12.27
1802,8.58,12.58
1803,8.50,12.47
1804,8.84,12.17
1805,8.56,12.73
1806,8.43,11.83
1807,8.28,11.62
1808,7.63,11.89
1809,7.08,11.16
1810,6.92,11.55
1811,6.86,11.65
1812,7.05,10.24
1813,7.74,11.35
1814,7.59,11.13
1815,7.24,10.70
1816,6.94,10.32
1817,6.98,10.25
1818,7.83,10.68
1819,7.37,11.38
1820,7.62,11.47
1821,8.09,10.77
1822,8.19,12.22
1823,7.72,11.44
1824,8.55,11.89
1825,8.39,12.56
1826,8.36,12.63
1827,8.81,12.32
1828,8.17,13.40
1829,7.94,11.49
1830,8.52,12.81
1831,7.64,10.99
1832,7.45,11.76
1833,8.01,11.90
1834,8.15,12.06
1835,7.39,11.32
1836,7.70,10.35
1837,7.38,11.19
1838,7.51,11.40
1839,7.63,11.70
1840,7.80,11.84
1841,7.69,11.40
1842,8.02,12.00
1843,8.17,11.01
1844,7.65,11.83
1845,7.85,12.03
1846,8.55,12.34
1847,8.09,11.65
1848,7.98,11.88
1849,7.98,11.38
1850,7.90,11.77
1851,8.18,12.01
1852,8.10,11.50
1853,8.04,12.31
1854,8.21,12.50
1855,8.11,11.79
1856,8.00,10.57
1857,7.76,10.82
1858,8.10,11.83
1859,8.25,11.82
1860,7.96,11.76
1861,7.85,12.00
1862,7.56,11.45
1863,8.11,11.39
1864,7.98,11.51
1865,8.18,11.92
1866,8.29,11.47
1867,8.44,10.90
1868,8.25,10.44
1869,8.43,11.20
1870,8.20,12.22
1871,8.12,11.76
1872,8.19,11.24
1873,8.35,11.10
1874,8.43,11.79
1875,7.86,10.33
1876,8.08,11.52
1877,8.54,12.30
1878,8.83,12.53
1879,8.17,11.91
1880,8.12,12.33
1881,8.27,12.50
1882,8.13,11.88
1883,7.98,11.36
1884,7.77,12.02
1885,7.92,10.88
1886,7.95,11.20
1887,7.91,11.74
1888,8.09,11.09
1889,8.32,12.02
1890,7.97,12.47
1891,8.02,12.04
1892,8.07,11.40
1893,8.06,11.16
1894,8.16,12.49
1895,8.15,11.37
1896,8.21,12.15
1897,8.29,11.81
1898,8.18,12.55
1899,8.40,11.73
1900,8.50,12.71
1901,8.54,11.32
1902,8.30,11.76
1903,8.22,11.57
1904,8.09,10.37
1905,8.23,11.49
1906,8.38,12.34
1907,7.95,10.87
1908,8.19,12.06
1909,8.18,11.93
1910,8.22,11.89
1911,8.18,12.53
1912,8.17,11.49
1913,8.30,12.98
1914,8.59,11.61
1915,8.59,11.92
1916,8.23,11.60
1917,8.02,10.55
1918,8.13,11.86
1919,8.38,12.37
1920,8.36,11.40
1921,8.57,13.37
1922,8.41,12.46
1923,8.42,12.17
1924,8.51,11.13
1925,8.53,12.13
1926,8.73,11.25
1927,8.52,12.15
1928,8.63,11.94
1929,8.24,12.13
1930,8.63,12.64
1931,8.72,13.26
1932,8.71,12.75
1933,8.34,12.60
1934,8.63,11.98
1935,8.52,11.81
1936,8.55,12.00
1937,8.70,12.23
1938,8.86,12.79
1939,8.76,12.75
1940,8.76,11.02
1941,8.77,12.58
1942,8.73,12.40
1943,8.76,12.24
1944,8.85,12.27
1945,8.58,12.31
1946,8.68,12.88
1947,8.80,12.06
1948,8.75,12.20
1949,8.59,13.37
1950,8.37,12.04
1951,8.63,12.37
1952,8.64,12.63
1953,8.87,13.29
1954,8.56,12.69
1955,8.63,12.48
1956,8.28,12.30
1957,8.73,12.74
1958,8.77,11.34
1959,8.73,13.06
1960,8.58,11.78
1961,8.80,12.11
1962,8.75,11.61
1963,8.86,11.58
1964,8.41,12.33
1965,8.53,12.18
1966,8.60,11.89
1967,8.70,11.60
1968,8.52,12.15
1969,8.60,11.98
1970,8.70,12.29
1971,8.60,12.43
1972,8.50,11.89
1973,8.95,13.04
1974,8.47,12.51
1975,8.74,12.67
1976,8.35,11.85
1977,8.85,12.34
1978,8.69,11.56
1979,8.73,11.88
1980,8.98,12.22
1981,9.17,12.00
1982,8.64,12.16
1983,9.03,12.48
1984,8.69,12.42
1985,8.66,12.79
1986,8.83,12.65
1987,8.99,12.78
1988,9.20,12.14
1989,8.92,11.92
1990,9.23,13.75
1991,9.18,13.76
1992,8.84,11.96
1993,8.87,12.39
1994,9.04,12.46
1995,9.35,12.55
1996,9.04,11.85
1997,9.20,12.36
1998,9.52,14.07
1999,9.29,13.19
2000,9.20,12.28
2001,9.41,12.99
2002,9.57,13.46
2003,9.53,12.07
2004,9.32,12.79
2005,9.70,12.82
2006,9.53,13.59
2007,9.73,13.13
2008,9.43,12.76
2009,9.51,12.44
2010,9.70,13.28
2011,9.52,13.56
2012,9.51,14.00
2013,9.61,14.19
